NUM;RET;REC;EBITDA;EBIT;LAIR;LAOD;LL;FCO
1;0.2748;66895;5256;2732;1663;1709;1709;-47884
2;0.2635;528009;287487;205061;104794;105558;105558;161816
3;-0.0617;262156;59898;30495;14020;10054;7442;61421
4;0.2265;756219;206293;176078;240410;182058;118428;202109
5;0.0699;1369412;664921;632805;560224;348360;166323;-250804
6;0.0185;15856798;6583427;5319312;3755048;4218978;4099705;9634853
7;-0.0101;1554090;308702;204059;171549;113297;113297;268296
8;0.3286;319914;41831;9462;-28735;-28326;-28326;41297
9;0.2337;467652;96308;76037;71393;58655;58655;61452
10;-0.2745;164612;-96210;-121809;-146425;-161846;-161846;8296
11;0.1603;3251896;98126;-2414285;-2452128;-2432445;-2432445;891739
12;0.2267;2326428;319453;183358;83020;51104;51104;418063
13;-0.0204;35347;-129;-890;-374;-395;460;2877
14;0.0982;4479;-955;-1563;875;532;532;879
15;0.3464;4961;-12744;-14963;-11894;-11926;-11926;-45993
16;0.1131;1389546;477646;49633;98480;2857;2957;369135
17;-0.1339;803437;126636;74037;52335;41308;41308;236125
18;0.1176;223933;29508;24495;-8242;-5382;-5382;18167
19;0.2243;0;-389447;-389447;-387973;-387973;-387973;-1879
20;0.1563;129058;48156;42305;31450;20402;20402;15134
21;-0.0054;12640079;-2548807;-3573212;-4445463;-2885191;-2921909;917074
22;-0.0793;9290235;1382412;798568;257445;689911;681815;330596
23;0.1161;17011000;1408000;1119000;994000;745000;636000;5654000
24;0.1527;2978961;1563943;932850;604181;386000;392573;1621639
25;0.0721;0;-357;-357;-1797;-1797;-2397;-2296
26;-0.0426;177651;3975;-789;-13297;-13399;-12612;15033
27;0.1643;2074432;151016;92762;75125;65310;65310;-47598
28;-0.0105;6389549;908435;673523;460564;497682;497534;887736
29;0.1077;432835;471523;359378;299883;1333115;1333115;250494
30;0.0104;426759;82702;59886;68752;63208;63208;105251
31;0.0360;2550883;533515;399719;289199;275520;275520;578732
32;0.0388;1562606;326971;254929;247219;205584;205584;301972
33;0.0289;1929976;494882;263208;-68706;-168122;-168316;748484
34;0.5965;2529841;633880;548049;483724;367171;367171;587723
35;0.0037;1402005;511507;356884;334657;255287;255287;415074
36;0.3441;4412410;1043706;689247;561064;596455;570964;859197
37;0.2294;3436227;1192356;1052217;900068;778290;792544;943899
38;0.1078;1664290;895691;461800;147153;201439;55395;979299
39;0.0385;669604;142555;117951;92781;79932;79932;143298
40;0.0149;475028;52044;38726;-33928;-37117;-24256;21126
41;0.0771;8022240;1740404;1289882;1127357;856527;841635;1898129
42;0.1778;583469;376406;214637;126503;114656;112033;164850
43;0.0439;146054;22137;15127;13090;22070;22070;27324
44;0.4805;113402;30140;16603;12479;9677;9677;14300
45;0.2479;1233205;262425;234759;236553;209364;149215;316322
46;0.4143;1074610;79963;-28952;-80242;-16741;-16666;236637
47;0.2513;367685;57199;49271;40273;30942;28213;38079
48;0.0935;129398;5279;1539;1793;27293;27293;13289
49;-0.9420;81955;4566;-8235;-6366;-6366;-6366;-28136
50;-0.0294;3228;-1775;-2544;-3421;-3421;-3421;-3968
51;0.2923;1486157;596809;349586;311478;284736;284698;575310
52;0.1442;1109178;528742;372707;160253;82093;79226;549325
53;0.1735;1826149;284222;228900;160333;125032;125032;278446
54;-0.0393;7339029;2751803;2708267;1398735;4871848;3083701;-2462476
55;0.0027;0;-892;-890;122;-1116;-1116;-96
56;0.3332;115375;24211;22712;50064;42608;42608;43552
57;0.0958;4134435;-120946;-413467;-375659;-755944;-867642;4151117
58;0.3075;404361;217638;112769;108962;102151;102151;246490
59;0.1244;4739797;919424;773053;639754;542620;499293;855051
60;0.0790;5365663;968118;684100;452737;353332;338336;828492
61;0.0757;1306902;260319;209559;202389;170997;170997;176816
62;0.2941;1111926;513438;379391;257883;364444;365425;501547
63;0.1838;2795124;1317096;1074294;667466;617534;617228;958618
64;0.2249;1678234;389892;288585;237643;190407;190407;76927
65;0.1286;6185294;2287735;2148019;1866877;1432686;1312231;146506
66;0.3357;120692;26504;30789;31635;6711;6640;-31969
67;0.4337;397493;73447;39546;31452;20229;20252;-1380
68;0.3246;479638;39816;37489;42891;33619;30576;88071
69;0.2967;308598;90718;87922;117133;110704;107632;-39710
70;0.3463;488586;-43291;-50639;1152197;899700;899700;35549
71;0.1451;286675;76507;-5411;-13367;-1006;-1084;9768
72;0.1451;720114;194688;129060;75252;56076;56076;204696
73;0.2191;370820;57982;37050;22747;-4645;-3223;47206
74;0.3333;116173;30116;27674;10026;46522;47004;-24079
75;0.1410;316879;101528;48672;5936;28426;28426;104828
